date,open,high,low,close,volume
2006/05/23,11004.8,11169.5,10993.1,11160.7,247348000
2006/05/24,11085.2,11120.8,10961.5,11047.2,223967000
2006/05/25,11107.7,11208.2,10984.3,11208.2,155387000
2006/05/26,11268.7,11414.8,11236.7,11414.8,193554000
2006/05/29,11401.9,11410.7,11369,11371.4,74457000
2006/05/30,11347.5,11384.3,11143.2,11165.6,152681000
2006/05/31,11072.4,11344.3,11049.2,11340.5,225630000
2006/06/01,11327.7,11375.8,11244.8,11346.4,145731000
2006/06/02,11445.7,11470.6,11317.1,11360.7,151525000
2006/06/05,11380,11380,11262.5,11287.8,115594000
2006/06/06,11134.1,11223.8,11090.1,11112,208689000
2006/06/07,11181,11267.1,11105.8,11224.7,23153000
2006/06/08,11027.4,11097.8,10952.6,10952.6,156403000
2006/06/09,11086.4,11121.7,11037.6,11098.2,151303000
2006/06/12,11060.8,11109.4,11018.5,11031.4,154278000
2006/06/13,10867.8,10909,10772.4,10797.5,237769000
2006/06/14,10833.4,10873.4,10744.2,10852,163030000
2006/06/15,10906.1,11045.9,10892.6,11036.3,196144000
2006/06/16,11143.8,11176.5,10935.2,10962.8,252717000
2006/06/19,11032.6,11101.4,11000.6,11056.8,152483000
2006/06/20,10987.4,11109.2,10965.1,11103.5,173003000
2006/06/21,11134.1,11155.4,11046.4,11155.4,155343000
2006/06/22,11248,11257.7,11197.6,11246.3,134166000
2006/06/23,11248,11302.9,11212.1,11274.2,131332000
2006/06/26,11313.8,11315.2,11260,11276.6,137831000
2006/06/27,11313.1,11313.1,11205.1,11214.5,118631000
2006/06/28,11180.5,11237.2,11158.5,11188.8,135484000
2006/06/29,11271.4,11386.6,11239.1,11386.6,164307000
2006/06/30,11486.7,11585.3,11448.2,11548.1,186504000
2006/07/03,11527.9,11573.9,11500,11569.6,123190000
2006/07/04,11595.5,11603.1,11548,11603.1,106553000
2006/07/05,11552.1,11555,11469.2,11521.2,130608000
2006/07/06,11510.9,11650.5,11505.8,11636.8,141154000
2006/07/07,11619.7,11646,11541.4,11626.7,123399000
2006/07/10,11581.8,11650.5,11549.3,11649.5,98898000
2006/07/11,11590.7,11616.2,11520.1,11535.2,116668000
2006/07/12,11569.5,11630.9,11525.8,11537.3,125395000
2006/07/13,11470.3,11479.1,11352,11375,154001000
2006/07/14,11270.2,11330.1,11240.2,11240.2,140222000
2006/07/17,11243.1,11264.4,11120.9,11179.4,150409000
2006/07/18,11172.2,11198.6,11116,11161,109377000
2006/07/19,11211.9,11425.7,11190.6,11425.7,151008000
2006/07/20,11468.1,11523.8,11422.7,11446.4,124799000
2006/07/21,11384.2,11434.1,11321.6,11333.9,148057000
2006/07/24,11343.9,11561.6,11337.5,11561.6,146491000
2006/07/25,11586.8,11644.3,11539.9,11611.9,155848000
2006/07/26,11632.5,11635.2,11572.7,11635.2,121022000
2006/07/27,11683.4,11777.2,11676.1,11768.4,188876000
2006/07/28,11728.8,11892.3,11717.5,11887.4,140036000
2006/07/31,11871.8,11886.7,11789.3,11818,100558000
2006/08/01,11806.9,11830.2,11698.5,11706.6,110342000
2006/08/02,11767.1,11877.8,11752.2,11863,114181000
2006/08/03,11873.7,11873.7,11756.5,11800.7,114421000
2006/08/04,11848.5,11934.1,11830.1,11934.1,121724000
2006/08/07,11836.2,11845.1,11771.6,11790.5,82145000
2006/08/08,11847.1,11878.8,11801.4,11834,89204000
2006/08/09,11855,11922.2,11785,11911.6,103607000
2006/08/10,11807.2,11834.7,11723.4,11810.4,140576000
2006/08/11,11836.1,11863.2,11707.6,11777.3,105833000
2006/08/14,11849.3,11913.1,11829.8,11903.3,82539000
2006/08/15,11853.7,12008.3,11853.2,11991.3,84995000
2006/08/16,12001,12071.7,11986.2,12045.9,106029000
2006/08/17,12050.4,12098.4,12026,12087.8,103650000
2006/08/18,12092.7,12092.7,12014.3,12067.8,78330000
2006/08/21,12029.1,12077.6,12003.4,12054.9,91344000
2006/08/22,12094.8,12121.5,12003.4,12080.8,108719000
2006/08/23,12098.9,12098.9,12008.2,12012.7,83530000
2006/08/24,12018.5,12085.8,11970.2,12056,103228000
2006/08/25,12068,12099,12011.5,12042.9,86021000
2006/08/28,12044.8,12120,11981,12116.6,79037000
2006/08/29,12103.1,12190.1,12103.1,12146.6,126312000
2006/08/30,12172,12200,12160.6,12171.9,108954000
2006/08/31,12191.6,12195.5,12104.3,12144.7,119857000
2006/09/01,12152.2,12231.9,12150.2,12193,100638000
2006/09/04,12216.6,12282.4,12210.3,12278.6,86793000
2006/09/05,12272.7,12272.7,12181.4,12212.4,129293000
2006/09/06,12214.1,12215.9,12092.6,12102.9,123072000
2006/09/07,12059.7,12065.8,11991.9,12014.5,130057000
2006/09/08,12032.6,12094.4,12027.9,12081.7,110420000
2006/09/11,12047.7,12068.9,11969.2,12055.2,131204000
2006/09/12,12059.9,12177.2,12029.4,12164.9,158931000
2006/09/13,12225.3,12225.3,12152.8,12206.9,161176000
2006/09/14,12230.6,12282.9,12205.2,12214.5,363233000
2006/09/15,12222.1,12337.5,12196,12278.4,270011000
2006/09/18,12294.6,12329.9,12252.4,12287.8,136685000
2006/09/19,12279.7,12291.6,12207.7,12240.9,148241000
2006/09/20,12225.2,12426.1,12216.1,12426.1,210529000
2006/09/21,12411.6,12502.8,12394.4,12476.9,193380000
2006/09/22,12401.3,12444,12368.9,12389.5,129783000
2006/09/25,12427,12485.4,12333.3,12393.3,182259000
2006/09/26,12473,12628.2,12431.4,12617.4,214831000
2006/09/27,12634.3,12953.3,12616.7,12950,283522000
2006/09/28,12945.7,12991.6,12838.7,12930.2,221827000
2006/09/29,12929.7,13001.6,12900.4,12934.7,186110000
2006/10/02,12937.2,12981.1,12874.8,12915.9,154588000
2006/10/03,12893.9,12901.1,12819.6,12860.5,173482000
2006/10/04,12912.5,12999.8,12866.5,12982.6,275513000
2006/10/05,13064.5,13122.9,13044.4,13116.4,254553000
2006/10/06,13123.2,13286.3,13075,13152.1,275144000
2006/10/09,13114.4,13180.6,13097.3,13143.5,152618000
2006/10/10,13175.8,13234.5,13154.9,13234.5,202569000
2006/10/11,13202.4,13285.2,13166,13260.9,183652000
2006/10/12,13283.8,13415,13245.1,13406.9,159186000
2006/10/13,13414.4,13465.6,13346.4,13454.5,162434000
2006/10/16,13437.5,13476.6,13402.9,13476.6,182020000
2006/10/17,13456.3,13486.9,13233.4,13245.3,204685000
2006/10/18,13279.6,13425.2,13269.7,13398.2,164592000
2006/10/19,13363.4,13502.7,13331.1,13463.7,155131000
2006/10/20,13504.8,13565.3,13459.2,13558,169368000
2006/10/23,13576.9,13620.7,13506.5,13620.7,144310000
2006/10/24,13619.7,13635.9,13547.7,13579.8,148648000
2006/10/25,13564.6,13674.3,13558.7,13636.3,706556000
2006/10/26,13684.1,13730.5,13622.7,13633.1,211600000
2006/10/27,13682.1,13744.3,13650.2,13725.8,216778000
2006/10/30,13639.5,13711.6,13600.5,13687.4,111539000
2006/10/31,13692.5,13773.5,13669.8,13753,168565000
2006/11/01,13769.2,13842.4,13765.7,13772.6,110735000
2006/11/02,13750.9,13788.5,13652,13719.3,207866000
2006/11/03,13787.1,13872.2,13739.1,13794.7,200744000
2006/11/06,13861.4,13968.5,13847.5,13968.5,258020000
2006/11/07,14006,14069.3,13977.6,14058.3,214144000
2006/11/08,14015.4,14099.1,13985.3,14090.4,194554000
2006/11/09,14106.6,14125,14055.1,14111.4,150613000
2006/11/10,14050.3,14069.7,13987.4,14002.4,277663000
2006/11/13,14012.6,14122.6,13987.4,14091.9,177439000
2006/11/14,14094.5,14145.9,14061.2,14113.2,200085000
2006/11/15,14166.4,14184.5,14106.7,14174.3,170751000
2006/11/16,14171.8,14241.3,14153.7,14241.3,133976000
2006/11/17,14219.1,14245.8,14120.9,14170,223930000
2006/11/20,14101.9,14256.7,14074.4,14256,170893000
2006/11/21,14218.7,14285.8,14214.1,14228.1,135476000
2006/11/22,14272.2,14338,14258.7,14294.6,176887000
2006/11/23,14315.2,14334.3,14229.4,14284.4,116766000
2006/11/24,14243.6,14258.6,14047,14088.1,180154000
2006/11/27,14051.9,14100.4,13786.8,13786.8,260318000
2006/11/28,13745.5,13802.6,13660.3,13732.1,282830000
2006/11/29,13840.9,13978,13798.6,13978,238068000
2006/11/30,14014.4,14031.9,13849.3,13849.3,220625000
2006/12/01,13910.5,13965.2,13551.1,13660.6,220007000
2006/12/04,13694.6,13846.4,13655.4,13846.4,196161000
2006/12/05,13898.7,14040.2,13887.7,14032.5,195211000
2006/12/06,14063.8,14081,13989.4,14007.1,124855000
2006/12/07,13965.4,14117.9,13956.8,14062.8,160783000
2006/12/08,14027.7,14106.1,13957.6,14076.6,119403000
2006/12/11,14119.4,14209.6,14116,14209.6,158568000
2006/12/12,14192.4,14209.7,14165.3,14200.2,142315000
2006/12/13,14205,14328.9,14187.1,14327.5,192934000
2006/12/14,14350.8,14390.1,14287.7,14351.9,173447000
2006/12/15,14388.7,14420.8,14319.8,14387.6,289889000
2006/12/18,14368.2,14376.6,14303.8,14317.5,160953000
2006/12/19,14238.5,14259.7,14123,14176.8,173820000
2006/12/20,14249,14268.4,14162.7,14201.7,170257000
2006/12/21,14164.2,14199.6,14109.3,14150.4,129923000
2006/12/22,14116.1,14122,14030.3,14066.1,110136000
2006/12/27,13955.1,14199.4,13955.1,14199.4,132493000
2006/12/28,14176.7,14204.7,14119,14160.8,795993000
2006/12/29,14168.6,14181.2,14082.9,14146.5,102472000
2007/01/02,14173.2,14381.1,14157.3,14364.4,184474000
2007/01/03,14383.2,14396.6,14307.7,14375.1,199468000
2007/01/04,14299,14382.4,14231.2,14382.4,214563000
2007/01/05,14290.8,14390.5,14286.1,14304.7,227567000
2007/01/08,14312.8,14380.6,14290.3,14322.3,214476000
2007/01/09,14376.5,14417.5,14288.2,14311.5,236256000
2007/01/10,14236.7,14239.4,14065.7,14116.1,253322000
2007/01/11,14183.2,14328.8,14105.2,14328.8,238661000
2007/01/12,14302.3,14373.7,14292.8,14368.2,81805420
2007/01/15,14414.3,14455.7,14411.9,14416.7,167235000
2007/01/16,14415.9,14482.6,14314.6,14355.6,182449000
2007/01/17,14367.7,14408.2,14233,14295,196719000
2007/01/18,14354.1,14383.5,14221,14265.3,211868000
2007/01/19,14239.4,14398.3,14182,14397.9,213139000
2007/01/22,14416.2,14500.4,14351.7,14359.7,173861000
2007/01/23,14354.6,14394.2,14304.7,14368.6,159666000
2007/01/24,14419.3,14560.2,14415.8,14540.7,200698000
2007/01/25,14567.7,14605.6,14490.6,14537.3,182130000
2007/01/26,14486.5,14486.9,14377.5,14415.4,177064000
2007/01/29,14403.1,14512.4,14391.7,14507,147978000
2007/01/30,14492,14564.1,14459.8,14553.4,162071000
2007/01/31,14523.9,14580.3,14450,14553.2,193218000
2007/02/01,14637.5,14656.9,14570.9,14571.5,210970000
2007/02/02,14573.3,14631.2,14545.3,14631.2,166193000
2007/02/05,14602.9,14625.9,14559,14616.7,170956000
2007/02/06,14653.2,14743.8,14644.6,14703.2,215577000
2007/02/07,14734.9,14867.3,14708,14854.6,226398000
2007/02/08,14856.7,14893,14773.7,14826,207881000
2007/02/09,14880.4,14927.2,14866.5,14875.5,173550000
2007/02/12,14831.9,14834.2,14729,14769,167531000
2007/02/13,14817.3,14855.1,14781,14824.6,150810000
2007/02/14,14867,14910,14815.2,14905.7,183538000
2007/02/15,14929.6,14938.3,14848.8,14876.9,147226000
2007/02/16,14807,14862.4,14777.5,14851.2,317403000
2007/02/19,14884.3,14947.8,14872.9,14915.8,131459000
2007/02/20,14932.1,14937.2,14836.5,14886.1,181351000
2007/02/21,14931.6,14963.6,14765.3,14788.8,189029000
2007/02/22,14850.8,14880.7,14761.7,14791.3,182851000
2007/02/23,14824.4,14827.8,14703.9,14767.1,157731000
2007/02/26,14792.5,14882.2,14786.6,14856.1,147577000
